,0,1
0,22,864
1,22,865
2,22,866
3,23,179
4,23,180
5,23,181
6,23,182
7,23,607
8,23,608
9,23,609
10,23,610
11,23,864
12,23,865
13,23,866
14,24,179
15,24,180
16,24,181
17,24,182
18,24,607
19,24,608
20,24,609
21,24,610
22,26,40
23,26,178
24,26,179
25,26,182
26,26,183
27,26,606
28,26,607
29,26,610
30,26,611
31,26,799
32,26,863
33,26,864
34,26,866
35,26,867
36,26,1066
37,26,1067
38,26,1091
39,26,1092
40,27,178
41,27,179
42,27,182
43,27,183
44,27,606
45,27,607
46,27,610
47,27,611
48,27,863
49,27,864
50,27,865
51,27,866
52,27,867
53,27,1066
54,27,1067
55,27,1091
56,27,1092
57,28,41
58,28,1091
59,28,1336
60,29,145
61,29,146
62,29,173
63,29,174
64,29,188
65,29,189
66,29,216
67,29,217
68,29,218
69,29,219
70,29,220
71,29,253
72,29,254
73,29,257
74,29,258
75,29,301
76,29,302
77,29,305
78,29,306
79,29,462
80,29,463
81,29,464
82,29,465
83,29,466
84,29,510
85,29,511
86,29,512
87,29,513
88,29,514
89,29,569
90,29,570
91,29,571
92,29,572
93,29,573
94,29,601
95,29,602
96,29,615
97,29,616
98,29,643
99,29,644
100,29,802
101,29,803
102,29,858
103,29,859
104,29,871
105,29,872
106,29,927
107,29,928
108,29,1091
109,29,1092
110,29,1191
111,29,1192
112,29,1195
113,29,1196
114,29,1304
115,29,1305
116,29,1306
117,29,1307
118,29,1308
119,29,1312
120,29,1313
121,30,145
122,30,146
123,30,173
124,30,174
125,30,188
126,30,189
127,30,216
128,30,217
129,30,219
130,30,220
131,30,253
132,30,254
133,30,257
134,30,258
135,30,301
136,30,302
137,30,305
138,30,306
139,30,462
140,30,463
141,30,465
142,30,466
143,30,510
144,30,511
145,30,513
146,30,514
147,30,569
148,30,570
149,30,572
150,30,573
151,30,601
152,30,602
153,30,615
154,30,616
155,30,643
156,30,644
157,30,802
158,30,803
159,30,858
160,30,859
161,30,871
162,30,872
163,30,927
164,30,928
165,30,1091
166,30,1092
167,30,1191
168,30,1192
169,30,1195
170,30,1196
171,30,1304
172,30,1305
173,30,1307
174,30,1308
175,30,1312
176,30,1313
177,35,145
178,35,146
179,35,173
180,35,174
181,35,188
182,35,189
183,35,216
184,35,217
185,35,305
186,35,306
187,35,462
188,35,463
189,35,572
190,35,573
191,35,601
192,35,615
193,35,616
194,35,643
195,35,644
196,35,802
197,35,803
198,35,858
199,35,859
200,35,871
201,35,872
202,35,927
203,35,928
204,36,145
205,36,146
206,36,173
207,36,174
208,36,188
209,36,189
210,36,216
211,36,217
212,36,305
213,36,306
214,36,462
215,36,463
216,36,572
217,36,573
218,36,615
219,36,616
220,36,643
221,36,644
222,36,802
223,36,803
224,36,858
225,36,859
226,36,871
227,36,872
228,36,927
229,36,928
230,37,145
231,37,174
232,37,188
233,37,217
234,37,305
235,37,463
236,37,572
237,37,601
238,37,615
239,37,644
240,37,802
241,37,859
242,37,871
243,37,928
244,38,145
245,38,146
246,38,173
247,38,174
248,38,188
249,38,189
250,38,216
251,38,217
252,38,305
253,38,306
254,38,462
255,38,463
256,38,572
257,38,573
258,38,601
259,38,602
260,38,615
261,38,616
262,38,643
263,38,644
264,38,802
265,38,803
266,38,858
267,38,859
268,38,871
269,38,872
270,38,927
271,38,928
272,39,145
273,39,146
274,39,173
275,39,174
276,39,188
277,39,189
278,39,216
279,39,217
280,39,305
281,39,306
282,39,462
283,39,463
284,39,572
285,39,573
286,39,601
287,39,602
288,39,615
289,39,616
290,39,643
291,39,644
292,39,802
293,39,803
294,39,858
295,39,859
296,39,871
297,39,872
298,39,927
299,39,928
300,39,1304
301,39,1305
302,40,610
303,40,611
304,40,612
305,40,613
306,40,1304
307,40,1305
308,41,610
309,41,611
310,41,612
311,41,613
312,41,1300
313,42,610
314,42,611
315,42,612
316,42,613
317,43,145
318,43,146
319,43,173
320,43,174
321,43,188
322,43,189
323,43,216
324,43,217
325,43,305
326,43,306
327,43,462
328,43,463
329,43,572
330,43,573
331,43,601
332,43,602
333,43,610
334,43,611
335,43,612
336,43,613
337,43,614
338,43,615
339,43,616
340,43,643
341,43,644
342,43,802
343,43,803
344,43,858
345,43,859
346,43,871
347,43,872
348,43,927
349,43,928
350,43,1302
351,43,1303
352,43,1304
353,43,1305
354,44,145
355,44,146
356,44,173
357,44,174
358,44,188
359,44,189
360,44,216
361,44,217
362,44,305
363,44,306
364,44,462
365,44,463
366,44,572
367,44,573
368,44,601
369,44,602
370,44,615
371,44,616
372,44,643
373,44,644
374,44,802
375,44,803
376,44,858
377,44,859
378,44,871
379,44,872
380,44,927
381,44,928
382,44,1302
383,44,1303
384,44,1304
385,44,1305
386,47,152
387,47,153
388,47,173
389,47,174
390,47,188
391,47,189
392,47,216
393,47,217
394,47,572
395,47,573
396,47,601
397,47,602
398,47,615
399,47,616
400,47,636
401,47,637
402,47,810
403,47,811
404,47,858
405,47,859
406,47,871
407,47,872
408,47,919
409,47,920
410,48,152
411,48,153
412,48,173
413,48,174
414,48,188
415,48,189
416,48,216
417,48,217
418,48,572
419,48,573
420,48,601
421,48,602
422,48,615
423,48,616
424,48,636
425,48,637
426,48,810
427,48,811
428,48,858
429,48,859
430,48,871
431,48,872
432,48,919
433,48,920
434,49,152
435,49,153
436,49,219
437,49,220
438,49,636
439,49,637
440,49,802
441,49,803
442,49,927
443,49,928
444,50,145
445,50,146
446,50,148
447,50,149
448,50,152
449,50,637
450,50,640
451,50,641
452,50,643
453,50,644
454,50,802
455,50,803
456,50,805
457,50,925
458,50,927
459,50,928
460,51,145
461,51,146
462,51,148
463,51,149
464,51,640
465,51,641
466,51,643
467,51,644
468,52,145
469,52,146
470,52,148
471,52,149
472,52,173
473,52,174
474,52,188
475,52,189
476,52,216
477,52,217
478,52,219
479,52,220
480,52,257
481,52,258
482,52,301
483,52,302
484,52,465
485,52,466
486,52,510
487,52,511
488,52,569
489,52,570
490,52,572
491,52,573
492,52,601
493,52,602
494,52,615
495,52,616
496,52,640
497,52,641
498,52,643
499,52,644
500,52,802
501,52,803
502,52,805
503,52,806
504,52,811
505,52,812
506,52,858
507,52,859
508,52,871
509,52,872
510,52,918
511,52,919
512,52,924
513,52,925
514,52,927
515,52,928
516,52,1091
517,52,1092
518,52,1191
519,52,1192
520,52,1307
521,52,1308
522,52,1312
523,52,1313
524,53,142
525,53,145
526,53,146
527,53,148
528,53,149
529,53,173
530,53,174
531,53,188
532,53,189
533,53,216
534,53,217
535,53,218
536,53,219
537,53,220
538,53,257
539,53,258
540,53,301
541,53,302
542,53,465
543,53,466
544,53,510
545,53,511
546,53,569
547,53,570
548,53,571
549,53,572
550,53,573
551,53,601
552,53,602
553,53,615
554,53,616
555,53,640
556,53,641
557,53,643
558,53,644
559,53,802
560,53,803
561,53,805
562,53,806
563,53,811
564,53,812
565,53,858
566,53,859
567,53,871
568,53,872
569,53,918
570,53,919
571,53,924
572,53,925
573,53,927
574,53,928
575,53,1091
576,53,1092
577,53,1191
578,53,1192
579,53,1307
580,53,1308
581,53,1312
582,53,1313
583,54,245
584,54,522
585,56,70
586,56,71
587,56,87
588,56,88
589,56,91
590,56,92
591,56,98
592,56,99
593,56,102
594,56,103
595,56,161
596,56,162
597,56,168
598,56,169
599,56,242
600,56,243
601,56,257
602,56,258
603,56,398
604,56,399
605,56,402
606,56,403
607,56,438
608,56,439
609,56,510
610,56,511
611,56,524
612,56,525
613,56,620
614,56,621
615,56,627
616,56,628
617,56,659
618,56,660
619,56,663
620,56,664
621,56,670
622,56,671
623,56,674
624,56,675
625,56,692
626,56,693
627,56,717
628,56,718
629,56,825
630,56,826
631,56,862
632,56,863
633,56,867
634,56,868
635,56,903
636,56,904
637,56,937
638,56,938
639,56,941
640,56,942
641,56,948
642,56,949
643,56,952
644,56,953
645,56,1192
646,56,1193
647,56,1307
648,56,1308
649,56,1312
650,56,1313
651,57,70
652,57,71
653,57,87
654,57,88
655,57,91
656,57,92
657,57,98
658,57,99
659,57,102
660,57,103
661,57,161
662,57,168
663,57,169
664,57,242
665,57,243
666,57,257
667,57,258
668,57,398
669,57,402
670,57,403
671,57,438
672,57,439
673,57,510
674,57,511
675,57,524
676,57,525
677,57,620
678,57,621
679,57,628
680,57,659
681,57,660
682,57,663
683,57,664
684,57,670
685,57,671
686,57,674
687,57,675
688,57,692
689,57,693
690,57,717
691,57,718
692,57,825
693,57,826
694,57,862
695,57,863
696,57,867
697,57,868
698,57,903
699,57,904
700,57,937
701,57,938
702,57,941
703,57,942
704,57,948
705,57,949
706,57,952
707,57,953
708,57,1192
709,57,1307
710,57,1308
711,57,1312
712,57,1313
713,58,168
714,58,169
715,58,620
716,58,621
717,58,825
718,58,826
719,59,168
720,59,216
721,59,217
722,59,218
723,59,219
724,59,401
725,59,402
726,59,570
727,59,571
728,59,572
729,59,573
730,59,621
731,59,824
732,59,825
733,59,827
734,59,862
735,59,863
736,59,864
737,59,866
738,59,867
739,60,216
740,60,217
741,60,218
742,60,219
743,60,400
744,60,401
745,60,402
746,60,438
747,60,439
748,60,440
749,60,570
750,60,571
751,60,572
752,60,573
753,60,826
754,60,827
755,60,862
756,60,863
757,60,866
758,60,867
759,60,903
760,60,904
761,60,905
762,61,438
763,61,439
764,61,825
765,61,826
766,61,903
767,61,904
768,62,173
769,62,432
770,62,433
771,62,616
772,62,825
773,62,826
774,63,172
775,63,173
776,63,174
777,63,432
778,63,433
779,63,615
780,63,616
781,63,617
782,63,831
783,63,832
784,63,898
785,63,899
786,64,173
787,64,174
788,64,433
789,64,434
790,64,615
791,64,616
792,64,831
793,64,832
794,64,833
795,64,897
796,64,898
797,64,899
798,65,179
799,65,401
800,65,402
801,65,403
802,65,404
803,65,434
804,65,610
805,65,832
806,65,862
807,65,868
808,65,869
809,65,898
810,66,179
811,66,401
812,66,402
813,66,403
814,66,610
815,66,861
816,66,862
817,66,863
818,66,864
819,66,866
820,66,867
821,66,868
822,67,178
823,67,179
824,67,610
825,67,611
826,67,861
827,67,864
828,67,866
829,67,867
830,68,178
831,68,403
832,68,422
833,68,611
834,68,843
835,68,868
836,68,887
837,69,422
838,69,423
839,69,842
840,69,843
841,69,887
842,69,888
843,70,213
844,70,214
845,70,215
846,70,405
847,70,422
848,70,423
849,70,574
850,70,575
851,70,576
852,70,842
853,70,861
854,70,887
855,70,888
856,71,189
857,71,214
858,71,215
859,71,422
860,71,423
861,71,574
862,71,575
863,71,600
864,71,842
865,71,887
866,71,888
867,72,188
868,72,189
869,72,190
870,72,214
871,72,215
872,72,416
873,72,574
874,72,575
875,72,599
876,72,600
877,72,601
878,72,847
879,72,848
880,72,881
881,73,189
882,73,190
883,73,416
884,73,417
885,73,418
886,73,599
887,73,600
888,73,847
889,73,848
890,73,849
891,73,881
892,73,882
893,73,883
894,74,195
895,74,196
896,74,408
897,74,416
898,74,417
899,74,418
900,74,593
901,74,594
902,74,848
903,74,856
904,74,874
905,74,881
906,74,882
907,74,883
908,75,195
909,75,196
910,75,593
911,75,594
912,75,856
913,75,857
914,75,873
915,75,874
916,76,194
917,76,195
918,76,210
919,76,211
920,76,578
921,76,579
922,76,594
923,76,595
924,77,194
925,77,211
926,77,212
927,77,213
928,77,576
929,77,577
930,77,578
931,77,595
932,78,409
933,78,857
934,78,873
935,79,208
936,79,409
937,79,581
938,79,857
939,79,858
940,79,872
941,79,873
942,80,208
943,80,209
944,80,580
945,80,581
946,82,210
947,83,207
948,84,207
949,106,70
950,106,71
951,106,87
952,106,88
953,106,674
954,106,675
955,106,692
956,106,693
957,107,70
958,107,71
959,107,87
960,107,88
961,107,674
962,107,675
963,107,692
964,107,693
965,109,89
966,109,673
967,110,70
968,110,71
969,110,89
970,110,90
971,110,672
972,110,673
973,110,692
974,110,693
975,111,70
976,111,71
977,111,692
978,111,693
979,116,70
980,116,71
981,116,98
982,116,99
983,116,663
984,116,664
985,116,692
986,116,693
987,117,70
988,117,71
989,117,98
990,117,99
991,117,663
992,117,664
993,117,692
994,117,693
995,119,101
996,119,661
997,120,70
998,120,71
999,120,692
1000,120,693
1001,121,70
1002,121,71
1003,121,692
1004,121,693
1005,122,941
1006,122,942
1007,122,948
1008,122,949
1009,123,941
1010,123,942
1011,123,948
1012,123,949
1013,125,939
1014,126,949
1015,126,950
1016,127,949
1017,127,950
1018,148,1298
1019,148,1299
1020,148,1302
1021,148,1303
1022,148,1304
1023,148,1305
1024,149,949
1025,149,950
1026,149,1298
1027,149,1299
1028,149,1302
1029,149,1303
1030,149,1304
1031,149,1305
1032,150,948
1033,150,950
1034,150,1306
1035,151,948
1036,151,949
1037,151,1306
1038,180,948
1039,180,949
1040,181,948
1041,181,950
1042,182,949
1043,182,950
1044,207,949
1045,207,950
1046,208,949
1047,208,950
1048,209,939
1049,244,507
1050,246,500
1051,246,501
1052,247,500
1053,247,501
1054,254,234
1055,254,533
1056,256,228
1057,256,229
1058,256,539
1059,256,540
1060,257,228
1061,257,229
1062,257,539
1063,257,540
1064,330,70
1065,330,71
1066,330,146
1067,330,151
1068,330,152
1069,330,228
1070,330,229
1071,330,235
1072,330,236
1073,330,242
1074,330,243
1075,330,257
1076,330,258
1077,330,408
1078,330,409
1079,330,508
1080,330,509
1081,330,510
1082,330,511
1083,330,524
1084,330,525
1085,330,531
1086,330,532
1087,330,539
1088,330,540
1089,330,616
1090,330,617
1091,330,620
1092,330,621
1093,330,692
1094,330,693
1095,330,717
1096,330,718
1097,330,937
1098,330,938
1099,331,70
1100,331,71
1101,331,146
1102,331,147
1103,331,151
1104,331,152
1105,331,228
1106,331,229
1107,331,235
1108,331,236
1109,331,242
1110,331,243
1111,331,257
1112,331,258
1113,331,408
1114,331,409
1115,331,508
1116,331,509
1117,331,510
1118,331,511
1119,331,524
1120,331,525
1121,331,531
1122,331,532
1123,331,539
1124,331,540
1125,331,616
1126,331,617
1127,331,620
1128,331,621
1129,331,692
1130,331,693
1131,331,717
1132,331,718
1133,331,937
1134,331,938
1135,332,785
1136,332,870
1137,333,245
1138,333,522
1139,334,75
1140,334,76
1141,334,146
1142,334,147
1143,334,150
1144,334,151
1145,334,228
1146,334,229
1147,334,236
1148,334,237
1149,334,257
1150,334,258
1151,334,408
1152,334,409
1153,334,508
1154,334,509
1155,334,510
1156,334,511
1157,334,531
1158,334,532
1159,334,539
1160,334,540
1161,334,616
1162,334,617
1163,334,621
1164,334,622
1165,334,692
1166,334,693
1167,335,75
1168,335,76
1169,335,146
1170,335,147
1171,335,150
1172,335,151
1173,335,228
1174,335,229
1175,335,236
1176,335,237
1177,335,257
1178,335,258
1179,335,408
1180,335,409
1181,335,508
1182,335,509
1183,335,510
1184,335,511
1185,335,531
1186,335,532
1187,335,539
1188,335,540
1189,335,616
1190,335,617
1191,335,621
1192,335,622
1193,335,692
1194,335,693
1195,337,74
1196,337,75
1197,338,70
1198,338,71
1199,338,74
1200,338,75
1201,338,230
1202,338,502
1203,338,538
1204,338,619
1205,339,70
1206,339,71
1207,339,232
1208,339,233
1209,339,504
1210,339,505
1211,339,535
1212,339,536
1213,340,232
1214,340,233
1215,340,504
1216,340,505
1217,340,535
1218,340,536
1219,340,820
1220,341,146
1221,341,147
1222,341,236
1223,341,237
1224,341,253
1225,341,254
1226,341,257
1227,341,258
1228,341,408
1229,341,409
1230,341,508
1231,341,509
1232,341,510
1233,341,511
1234,341,513
1235,341,514
1236,341,531
1237,341,532
1238,341,620
1239,341,621
1240,341,692
1241,341,693
1242,341,813
1243,341,814
1244,341,820
1245,341,844
1246,341,845
1247,342,73
1248,342,74
1249,342,146
1250,342,147
1251,342,236
1252,342,237
1253,342,253
1254,342,254
1255,342,257
1256,342,258
1257,342,408
1258,342,409
1259,342,508
1260,342,509
1261,342,510
1262,342,511
1263,342,512
1264,342,513
1265,342,514
1266,342,531
1267,342,532
1268,342,620
1269,342,621
1270,342,692
1271,342,693
1272,342,786
1273,342,787
1274,342,812
1275,342,814
1276,342,844
1277,342,846
1278,342,868
1279,342,869
1280,343,73
1281,343,74
1282,343,395
1283,343,405
1284,343,619
1285,343,786
1286,343,787
1287,343,812
1288,343,813
1289,343,845
1290,343,846
1291,343,868
1292,343,869
1293,344,73
1294,344,74
1295,344,149
1296,344,234
1297,344,411
1298,344,506
1299,344,534
1300,344,619
1301,344,951
1302,345,73
1303,345,74
1304,345,392
1305,345,393
1306,345,407
1307,345,408
1308,346,392
1309,346,393
1310,346,407
1311,346,408
1312,352,392
1313,352,393
1314,352,396
1315,352,397
1316,352,403
1317,352,404
1318,353,392
1319,353,393
1320,353,396
1321,353,397
1322,353,403
1323,353,404
1324,354,306
1325,354,405
1326,354,406
1327,355,307
1328,355,308
1329,355,398
1330,355,399
1331,355,400
1332,355,401
1333,355,402
1334,356,307
1335,356,308
1336,356,398
1337,356,399
1338,356,401
1339,356,402
1340,357,307
1341,357,308
1342,357,398
1343,357,399
1344,358,307
1345,358,308
1346,358,398
1347,358,399
1348,359,308
1349,359,400
1350,360,308
1351,360,309
1352,361,308
1353,361,309
1354,450,406
1355,452,392
1356,452,396
1357,452,397
1358,452,403
1359,452,404
1360,453,396
1361,453,397
1362,453,403
1363,453,404
1364,459,407
1365,459,408
1366,460,407
1367,460,408
1368,461,405
1369,461,406
1370,461,587
1371,461,683
1372,461,684
1373,461,715
1374,461,716
1375,462,585
1376,462,586
1377,462,685
1378,462,686
1379,462,713
1380,462,714
1381,463,585
1382,463,586
1383,463,685
1384,463,686
1385,463,713
1386,463,714
1387,464,681
1388,464,682
1389,465,681
1390,465,682
1391,466,587
1392,466,678
1393,469,584
1394,469,585
1395,469,685
1396,469,686
1397,470,584
1398,470,585
1399,470,685
1400,470,686
1401,471,405
1402,471,694
1403,472,694
1404,473,407
1405,473,408
1406,473,585
1407,473,586
1408,473,685
1409,473,686
1410,473,692
1411,473,693
1412,474,407
1413,474,408
1414,474,585
1415,474,586
1416,474,685
1417,474,686
1418,474,692
1419,474,693
1420,533,695
1421,533,696
1422,533,713
1423,533,714
1424,534,695
1425,534,696
1426,534,713
1427,534,714
1428,557,676
1429,557,677
1430,558,676
1431,558,677
1432,561,683
1433,562,683
1434,562,684
1435,845,531
1436,845,532
1437,846,531
1438,849,521
1439,849,530
1440,849,531
1441,850,521
1442,850,522
1443,850,530
1444,851,522
1445,852,522
1446,853,516
1447,853,517
1448,854,515
1449,854,516
1450,854,517
1451,854,535
1452,857,535
1453,857,536
1454,858,535
1455,858,536
1456,858,537
1457,859,506
1458,859,536
1459,859,537
1460,860,505
1461,860,506
1462,860,507
1463,861,505
1464,861,506
1465,862,500
1466,863,500
1467,864,500
1468,864,501
1469,864,536
1470,864,537
1471,864,538
1472,864,539
1473,865,501
1474,865,536
1475,865,537
1476,865,538
1477,865,539
1478,868,488
1479,868,489
1480,869,488
1481,869,489
1482,869,490
1483,870,489
1484,870,490
1485,871,483
1486,871,484
1487,871,489
1488,871,490
1489,872,483
1490,872,484
1491,873,483
1492,873,484
1493,873,485
1494,874,482
1495,874,484
1496,874,485
1497,875,483
1498,875,484
1499,876,70
1500,876,71
1501,876,392
1502,876,393
1503,876,396
1504,876,397
1505,876,403
1506,876,404
1507,876,407
1508,876,408
1509,876,483
1510,876,484
1511,876,537
1512,876,538
1513,876,540
1514,876,541
1515,876,692
1516,876,693
1517,876,717
1518,876,718
1519,876,1312
1520,876,1313
1521,876,1337
1522,876,1338
1523,877,70
1524,877,71
1525,877,392
1526,877,393
1527,877,396
1528,877,397
1529,877,403
1530,877,404
1531,877,407
1532,877,408
1533,877,483
1534,877,484
1535,877,537
1536,877,538
1537,877,539
1538,877,540
1539,877,541
1540,877,692
1541,877,693
1542,877,717
1543,877,718
1544,877,1312
1545,877,1313
1546,877,1337
1547,877,1338
1548,878,753
1549,878,945
1550,878,946
1551,878,1020
1552,878,1244
1553,878,1405
1554,879,155
1555,879,156
1556,879,344
1557,879,345
1558,879,947
1559,879,948
1560,879,1018
1561,879,1019
1562,880,155
1563,880,156
1564,880,344
1565,880,345
1566,880,947
1567,880,948
1568,880,1018
1569,880,1019
1570,886,943
1571,886,944
1572,886,1242
1573,886,1243
1574,887,781
1575,887,782
1576,887,819
1577,887,943
1578,887,944
1579,887,1053
1580,887,1054
1581,887,1099
1582,887,1242
1583,887,1243
1584,888,155
1585,888,156
1586,888,344
1587,888,345
1588,888,476
1589,888,477
1590,888,633
1591,888,634
1592,888,781
1593,888,782
1594,888,844
1595,888,1053
1596,888,1054
1597,888,1098
1598,888,1099
1599,888,1127
1600,889,155
1601,889,156
1602,889,344
1603,889,345
1604,889,476
1605,889,477
1606,889,633
1607,889,634
1608,889,754
1609,889,755
1610,889,780
1611,889,781
1612,889,820
1613,889,821
1614,889,842
1615,889,1021
1616,889,1022
1617,889,1052
1618,889,1053
1619,889,1099
1620,889,1100
1621,889,1125
1622,890,161
1623,890,340
1624,890,754
1625,890,755
1626,890,780
1627,890,781
1628,890,820
1629,890,821
1630,890,842
1631,890,843
1632,890,1021
1633,890,1022
1634,890,1052
1635,890,1053
1636,890,1099
1637,890,1100
1638,890,1125
1639,890,1126
1640,893,476
1641,893,477
1642,893,633
1643,893,634
1644,893,854
1645,893,855
1646,893,876
1647,893,877
1648,893,917
1649,893,918
1650,893,943
1651,893,944
1652,893,1138
1653,893,1139
1654,893,1165
1655,893,1166
1656,893,1211
1657,893,1212
1658,893,1242
1659,893,1243
1660,894,476
1661,894,477
1662,894,633
1663,894,634
1664,894,855
1665,894,876
1666,894,877
1667,894,917
1668,894,918
1669,894,943
1670,894,944
1671,894,1139
1672,894,1165
1673,894,1166
1674,894,1211
1675,894,1212
1676,894,1242
1677,894,1243
1678,895,853
1679,895,877
1680,895,878
1681,895,916
1682,895,917
1683,895,1137
1684,895,1166
1685,895,1167
1686,895,1210
1687,895,1211
1688,896,754
1689,896,755
1690,896,877
1691,896,878
1692,896,916
1693,896,917
1694,896,1021
1695,896,1022
1696,896,1166
1697,896,1167
1698,896,1210
1699,896,1211
1700,897,476
1701,897,477
1702,897,633
1703,897,634
1704,897,754
1705,897,755
1706,897,1021
1707,897,1022
1708,898,476
1709,898,477
1710,898,633
1711,898,634
1712,902,476
1713,902,477
1714,902,633
1715,902,634
1716,902,754
1717,902,755
1718,902,943
1719,902,944
1720,902,947
1721,902,948
1722,902,1018
1723,902,1019
1724,902,1021
1725,902,1022
1726,902,1242
1727,902,1243
1728,903,40
1729,903,476
1730,903,477
1731,903,633
1732,903,634
1733,903,754
1734,903,755
1735,903,943
1736,903,944
1737,903,947
1738,903,948
1739,903,1018
1740,903,1019
1741,903,1020
1742,903,1021
1743,903,1022
1744,903,1242
1745,903,1243
1746,905,41
1747,905,1405
1748,906,139
1749,906,140
1750,906,141
1751,906,142
1752,906,143
1753,906,147
1754,906,148
1755,906,352
1756,906,353
1757,906,357
1758,906,358
1759,906,361
1760,906,362
1761,906,692
1762,906,693
1763,906,712
1764,906,713
1765,906,1312
1766,906,1313
1767,906,1314
1768,906,1315
1769,906,1316
1770,906,1322
1771,906,1323
