x,y
21,863
21,864
21,865
22,178
22,179
22,180
22,181
22,606
22,607
22,608
22,609
22,863
22,864
22,865
23,178
23,179
23,180
23,181
23,606
23,607
23,608
23,609
25,177
25,178
25,181
25,182
25,605
25,606
25,609
25,610
25,862
25,863
25,865
25,866
25,1065
25,1066
25,1090
25,1091
26,40
26,177
26,178
26,181
26,182
26,605
26,606
26,609
26,610
26,799
26,862
26,863
26,864
26,865
26,866
26,1065
26,1066
26,1090
26,1091
27,40
27,1090
27,1335
28,144
28,145
28,172
28,173
28,187
28,188
28,215
28,216
28,217
28,218
28,219
28,252
28,253
28,256
28,257
28,300
28,301
28,304
28,305
28,461
28,462
28,463
28,464
28,465
28,509
28,510
28,511
28,512
28,513
28,568
28,569
28,570
28,571
28,572
28,600
28,601
28,614
28,615
28,642
28,643
28,801
28,802
28,857
28,858
28,870
28,871
28,926
28,927
28,1090
28,1091
28,1190
28,1191
28,1194
28,1195
28,1303
28,1304
28,1305
28,1306
28,1307
28,1311
28,1312
29,144
29,145
29,172
29,173
29,187
29,188
29,215
29,216
29,218
29,219
29,252
29,253
29,256
29,257
29,300
29,301
29,304
29,305
29,461
29,462
29,464
29,465
29,509
29,510
29,512
29,513
29,568
29,569
29,571
29,572
29,600
29,601
29,614
29,615
29,642
29,643
29,801
29,802
29,857
29,858
29,870
29,871
29,926
29,927
29,1090
29,1091
29,1190
29,1191
29,1194
29,1195
29,1303
29,1304
29,1306
29,1307
29,1311
29,1312
34,144
34,145
34,172
34,173
34,187
34,188
34,215
34,216
34,304
34,305
34,461
34,462
34,571
34,572
34,600
34,614
34,615
34,642
34,643
34,801
34,802
34,857
34,858
34,870
34,871
34,926
34,927
35,144
35,145
35,172
35,173
35,187
35,188
35,215
35,216
35,304
35,305
35,461
35,462
35,571
35,572
35,614
35,615
35,642
35,643
35,801
35,802
35,857
35,858
35,870
35,871
35,926
35,927
36,144
36,173
36,187
36,216
36,304
36,462
36,571
36,600
36,614
36,643
36,801
36,858
36,870
36,927
37,144
37,145
37,172
37,173
37,187
37,188
37,215
37,216
37,304
37,305
37,461
37,462
37,571
37,572
37,600
37,601
37,614
37,615
37,642
37,643
37,801
37,802
37,857
37,858
37,870
37,871
37,926
37,927
38,144
38,145
38,172
38,173
38,187
38,188
38,215
38,216
38,304
38,305
38,461
38,462
38,571
38,572
38,600
38,601
38,614
38,615
38,642
38,643
38,801
38,802
38,857
38,858
38,870
38,871
38,926
38,927
38,1303
38,1304
39,609
39,610
39,611
39,612
39,1303
39,1304
40,609
40,610
40,611
40,612
40,1299
41,609
41,610
41,611
41,612
42,144
42,145
42,172
42,173
42,187
42,188
42,215
42,216
42,304
42,305
42,461
42,462
42,571
42,572
42,600
42,601
42,609
42,610
42,611
42,612
42,613
42,614
42,615
42,642
42,643
42,801
42,802
42,857
42,858
42,870
42,871
42,926
42,927
42,1301
42,1302
42,1303
42,1304
43,144
43,145
43,172
43,173
43,187
43,188
43,215
43,216
43,304
43,305
43,461
43,462
43,571
43,572
43,600
43,601
43,614
43,615
43,642
43,643
43,801
43,802
43,857
43,858
43,870
43,871
43,926
43,927
43,1301
43,1302
43,1303
43,1304
46,151
46,152
46,172
46,173
46,187
46,188
46,215
46,216
46,571
46,572
46,600
46,601
46,614
46,615
46,635
46,636
46,809
46,810
46,857
46,858
46,870
46,871
46,918
46,919
47,151
47,152
47,172
47,173
47,187
47,188
47,215
47,216
47,571
47,572
47,600
47,601
47,614
47,615
47,635
47,636
47,809
47,810
47,857
47,858
47,870
47,871
47,918
47,919
48,151
48,152
48,218
48,219
48,635
48,636
48,801
48,802
48,926
48,927
49,144
49,145
49,147
49,148
49,151
49,636
49,639
49,640
49,642
49,643
49,801
49,802
49,804
49,924
49,926
49,927
50,144
50,145
50,147
50,148
50,639
50,640
50,642
50,643
51,144
51,145
51,147
51,148
51,172
51,173
51,187
51,188
51,215
51,216
51,218
51,219
51,256
51,257
51,300
51,301
51,464
51,465
51,509
51,510
51,568
51,569
51,571
51,572
51,600
51,601
51,614
51,615
51,639
51,640
51,642
51,643
51,801
51,802
51,804
51,805
51,810
51,811
51,857
51,858
51,870
51,871
51,917
51,918
51,923
51,924
51,926
51,927
51,1090
51,1091
51,1190
51,1191
51,1306
51,1307
51,1311
51,1312
52,144
52,145
52,147
52,148
52,172
52,173
52,187
52,188
52,215
52,216
52,217
52,218
52,219
52,256
52,257
52,300
52,301
52,464
52,465
52,509
52,510
52,568
52,569
52,570
52,571
52,572
52,600
52,601
52,614
52,615
52,639
52,640
52,642
52,643
52,801
52,802
52,804
52,805
52,810
52,811
52,857
52,858
52,870
52,871
52,917
52,918
52,923
52,924
52,926
52,927
52,1090
52,1091
52,1190
52,1191
52,1306
52,1307
52,1311
52,1312
53,142
53,244
53,521
55,69
55,70
55,86
55,87
55,90
55,91
55,97
55,98
55,101
55,102
55,160
55,161
55,167
55,168
55,241
55,242
55,256
55,257
55,397
55,398
55,401
55,402
55,437
55,438
55,509
55,510
55,523
55,524
55,619
55,620
55,626
55,627
55,658
55,659
55,662
55,663
55,669
55,670
55,673
55,674
55,691
55,692
55,716
55,717
55,824
55,825
55,861
55,862
55,866
55,867
55,902
55,903
55,936
55,937
55,940
55,941
55,947
55,948
55,951
55,952
55,1191
55,1192
55,1306
55,1307
55,1311
55,1312
56,69
56,70
56,86
56,87
56,90
56,91
56,97
56,98
56,101
56,102
56,160
56,167
56,168
56,241
56,242
56,256
56,257
56,397
56,401
56,402
56,437
56,438
56,509
56,510
56,523
56,524
56,619
56,620
56,627
56,658
56,659
56,662
56,663
56,669
56,670
56,673
56,674
56,691
56,692
56,716
56,717
56,824
56,825
56,861
56,862
56,866
56,867
56,902
56,903
56,936
56,937
56,940
56,941
56,947
56,948
56,951
56,952
56,1191
56,1306
56,1307
56,1311
56,1312
57,167
57,168
57,619
57,620
57,824
57,825
58,167
58,215
58,216
58,217
58,218
58,400
58,401
58,569
58,570
58,571
58,572
58,620
58,823
58,824
58,826
58,861
58,862
58,863
58,865
58,866
59,215
59,216
59,217
59,218
59,399
59,400
59,401
59,437
59,438
59,439
59,569
59,570
59,571
59,572
59,825
59,826
59,861
59,862
59,865
59,866
59,902
59,903
59,904
60,437
60,438
60,824
60,825
60,902
60,903
61,172
61,431
61,432
61,615
61,824
61,825
62,171
62,172
62,173
62,431
62,432
62,614
62,615
62,616
62,830
62,831
62,897
62,898
63,172
63,173
63,432
63,433
63,614
63,615
63,830
63,831
63,832
63,896
63,897
63,898
64,178
64,400
64,401
64,402
64,403
64,433
64,609
64,831
64,861
64,867
64,868
64,897
65,178
65,400
65,401
65,402
65,609
65,860
65,861
65,862
65,863
65,865
65,866
65,867
66,177
66,178
66,609
66,610
66,860
66,863
66,865
66,866
67,177
67,402
67,421
67,610
67,842
67,867
67,886
68,421
68,422
68,841
68,842
68,886
68,887
69,212
69,213
69,214
69,404
69,421
69,422
69,573
69,574
69,575
69,841
69,860
69,886
69,887
70,188
70,213
70,214
70,421
70,422
70,573
70,574
70,599
70,841
70,886
70,887
71,187
71,188
71,189
71,213
71,214
71,415
71,573
71,574
71,598
71,599
71,600
71,846
71,847
71,880
72,188
72,189
72,415
72,416
72,417
72,598
72,599
72,846
72,847
72,848
72,880
72,881
72,882
73,194
73,195
73,407
73,415
73,416
73,417
73,592
73,593
73,847
73,855
73,873
73,880
73,881
73,882
74,194
74,195
74,592
74,593
74,855
74,856
74,872
74,873
75,193
75,194
75,209
75,210
75,577
75,578
75,593
75,594
76,193
76,210
76,211
76,212
76,575
76,576
76,577
76,594
77,408
77,856
77,872
78,207
78,408
78,580
78,856
78,857
78,871
78,872
79,207
79,208
79,579
79,580
81,209
82,206
83,206
105,69
105,70
105,86
105,87
105,673
105,674
105,691
105,692
106,69
106,70
106,86
106,87
106,673
106,674
106,691
106,692
108,88
108,672
109,69
109,70
109,88
109,89
109,671
109,672
109,691
109,692
110,69
110,70
110,691
110,692
115,69
115,70
115,97
115,98
115,662
115,663
115,691
115,692
116,69
116,70
116,97
116,98
116,662
116,663
116,691
116,692
118,100
118,660
119,69
119,70
119,691
119,692
120,69
120,70
120,691
120,692
121,940
121,941
121,947
121,948
122,940
122,941
122,947
122,948
124,938
125,948
125,949
126,948
126,949
147,1297
147,1298
147,1301
147,1302
147,1303
147,1304
148,948
148,949
148,1297
148,1298
148,1301
148,1302
148,1303
148,1304
149,947
149,949
149,1305
150,947
150,948
150,1305
179,947
179,948
180,947
180,949
181,948
181,949
206,948
206,949
207,948
207,949
208,938
243,506
245,499
245,500
246,499
246,500
253,233
253,532
255,227
255,228
255,538
255,539
256,227
256,228
256,538
256,539
329,69
329,70
329,145
329,150
329,151
329,227
329,228
329,234
329,235
329,241
329,242
329,256
329,257
329,407
329,408
329,507
329,508
329,509
329,510
329,523
329,524
329,530
329,531
329,538
329,539
329,615
329,616
329,619
329,620
329,691
329,692
329,716
329,717
329,936
329,937
330,69
330,70
330,145
330,146
330,150
330,151
330,227
330,228
330,234
330,235
330,241
330,242
330,256
330,257
330,407
330,408
330,507
330,508
330,509
330,510
330,523
330,524
330,530
330,531
330,538
330,539
330,615
330,616
330,619
330,620
330,691
330,692
330,716
330,717
330,936
330,937
331,784
331,869
332,244
332,521
333,74
333,75
333,145
333,146
333,149
333,150
333,227
333,228
333,235
333,236
333,256
333,257
333,407
333,408
333,507
333,508
333,509
333,510
333,530
333,531
333,538
333,539
333,615
333,616
333,620
333,621
333,691
333,692
334,74
334,75
334,145
334,146
334,149
334,150
334,227
334,228
334,235
334,236
334,256
334,257
334,407
334,408
334,507
334,508
334,509
334,510
334,530
334,531
334,538
334,539
334,615
334,616
334,620
334,621
334,691
334,692
336,73
336,74
337,69
337,70
337,73
337,74
337,229
337,501
337,537
337,618
338,69
338,70
338,231
338,232
338,503
338,504
338,534
338,535
339,231
339,232
339,503
339,504
339,534
339,535
339,819
340,145
340,146
340,235
340,236
340,252
340,253
340,256
340,257
340,407
340,408
340,507
340,508
340,509
340,510
340,512
340,513
340,530
340,531
340,619
340,620
340,691
340,692
340,812
340,813
340,819
340,843
340,844
341,72
341,73
341,145
341,146
341,235
341,236
341,252
341,253
341,256
341,257
341,407
341,408
341,507
341,508
341,509
341,510
341,511
341,512
341,513
341,530
341,531
341,619
341,620
341,691
341,692
341,785
341,786
341,811
341,813
341,843
341,845
341,867
341,868
342,72
342,73
342,394
342,404
342,618
342,785
342,786
342,811
342,812
342,844
342,845
342,867
342,868
343,72
343,73
343,148
343,233
343,410
343,505
343,533
343,618
343,950
344,72
344,73
344,391
344,392
344,406
344,407
345,391
345,392
345,406
345,407
351,391
351,392
351,395
351,396
351,402
351,403
352,391
352,392
352,395
352,396
352,402
352,403
353,305
353,404
353,405
354,306
354,307
354,397
354,398
354,399
354,400
354,401
355,306
355,307
355,397
355,398
355,400
355,401
356,306
356,307
356,397
356,398
357,306
357,307
357,397
357,398
358,307
358,399
359,307
359,308
360,307
360,308
449,405
451,391
451,395
451,396
451,402
451,403
452,395
452,396
452,402
452,403
458,406
458,407
459,406
459,407
460,404
460,405
460,586
460,682
460,683
460,714
460,715
461,584
461,585
461,684
461,685
461,712
461,713
462,584
462,585
462,684
462,685
462,712
462,713
463,680
463,681
464,680
464,681
465,586
465,677
468,583
468,584
468,684
468,685
469,583
469,584
469,684
469,685
470,404
470,693
471,693
472,406
472,407
472,584
472,585
472,684
472,685
472,691
472,692
473,406
473,407
473,584
473,585
473,684
473,685
473,691
473,692
532,694
532,695
532,712
532,713
533,694
533,695
533,712
533,713
556,675
556,676
557,675
557,676
560,682
561,682
561,683
844,530
844,531
845,530
848,520
848,529
848,530
849,520
849,521
849,529
850,521
851,521
852,515
852,516
853,514
853,515
853,516
853,534
856,534
856,535
857,534
857,535
857,536
858,505
858,535
858,536
859,504
859,505
859,506
860,504
860,505
861,499
862,499
863,499
863,500
863,535
863,536
863,537
863,538
864,500
864,535
864,536
864,537
864,538
867,487
867,488
868,487
868,488
868,489
869,488
869,489
870,482
870,483
870,488
870,489
871,482
871,483
872,482
872,483
872,484
873,481
873,483
873,484
874,482
874,483
875,69
875,70
875,391
875,392
875,395
875,396
875,402
875,403
875,406
875,407
875,482
875,483
875,536
875,537
875,539
875,540
875,691
875,692
875,716
875,717
875,1311
875,1312
875,1336
875,1337
876,69
876,70
876,391
876,392
876,395
876,396
876,402
876,403
876,406
876,407
876,482
876,483
876,536
876,537
876,538
876,539
876,540
876,691
876,692
876,716
876,717
876,1311
876,1312
876,1336
876,1337
877,752
877,944
877,945
877,1019
877,1243
877,1404
878,154
878,155
878,343
878,344
878,946
878,947
878,1017
878,1018
879,154
879,155
879,343
879,344
879,946
879,947
879,1017
879,1018
885,942
885,943
885,1241
885,1242
886,780
886,781
886,818
886,942
886,943
886,1052
886,1053
886,1098
886,1241
886,1242
887,154
887,155
887,343
887,344
887,475
887,476
887,632
887,633
887,780
887,781
887,843
887,1052
887,1053
887,1097
887,1098
887,1126
888,154
888,155
888,343
888,344
888,475
888,476
888,632
888,633
888,753
888,754
888,779
888,780
888,819
888,820
888,841
888,1020
888,1021
888,1051
888,1052
888,1098
888,1099
888,1124
889,160
889,339
889,753
889,754
889,779
889,780
889,819
889,820
889,841
889,842
889,1020
889,1021
889,1051
889,1052
889,1098
889,1099
889,1124
889,1125
892,475
892,476
892,632
892,633
892,853
892,854
892,875
892,876
892,916
892,917
892,942
892,943
892,1137
892,1138
892,1164
892,1165
892,1210
892,1211
892,1241
892,1242
893,475
893,476
893,632
893,633
893,854
893,875
893,876
893,916
893,917
893,942
893,943
893,1138
893,1164
893,1165
893,1210
893,1211
893,1241
893,1242
894,852
894,876
894,877
894,915
894,916
894,1136
894,1165
894,1166
894,1209
894,1210
895,753
895,754
895,876
895,877
895,915
895,916
895,1020
895,1021
895,1165
895,1166
895,1209
895,1210
896,475
896,476
896,632
896,633
896,753
896,754
896,1020
896,1021
897,475
897,476
897,632
897,633
901,475
901,476
901,632
901,633
901,753
901,754
901,942
901,943
901,946
901,947
901,1017
901,1018
901,1020
901,1021
901,1241
901,1242
902,475
902,476
902,632
902,633
902,753
902,754
902,942
902,943
902,946
902,947
902,1017
902,1018
902,1019
902,1020
902,1021
902,1241
902,1242
903,40
904,40
904,1404
905,138
905,139
905,140
905,141
905,142
905,146
905,147
905,351
905,352
905,356
905,357
905,360
905,361
905,691
905,692
905,711
905,712
905,1311
905,1312
905,1313
905,1314
905,1315
905,1321
905,1322
905,1325
905,1326
906,138
906,139
906,141
906,142
906,146
906,147
906,351
906,352
906,356
906,357
906,360
906,361
906,691
906,692
906,711
906,712
906,1311
906,1312
906,1314
906,1315
906,1321
906,1322
906,1325
906,1326
921,209
921,210
921,291
922,209
922,291
923,288
925,289
925,290
925,299
926,199
926,200
926,201
926,209
926,290
926,298
926,299
927,199
927,200
927,201
927,298
927,299
928,200
928,298
928,299
929,194
929,195
929,305
930,194
930,195
930,286
930,303
930,304
930,305
931,214
931,303
931,304
931,305
932,284
934,213
934,214
934,215
934,216
934,283
934,284
935,184
935,213
935,214
935,283
935,284
935,285
935,315
935,316
936,183
936,184
936,185
936,314
936,315
936,316
937,183
937,184
937,314
938,178
938,320
939,178
939,320
940,178
940,215
940,216
940,217
940,218
940,281
940,282
940,283
940,320
941,161
941,162
941,179
941,180
941,214
941,216
941,217
941,219
941,280
941,282
941,284
941,318
941,319
941,337
941,338
942,161
942,162
942,179
942,180
942,214
942,215
942,218
942,219
942,280
942,281
942,282
942,283
942,284
942,318
942,319
942,337
942,338
950,150
950,151
950,152
950,153
951,150
951,151
951,152
951,153
952,150
952,151
952,152
952,153
953,150
953,151
953,152
953,153
954,148
954,149
954,350
960,141
960,142
960,356
960,357
961,141
961,142
961,356
961,357
962,140
963,140
963,359
1029,789
1029,1067
1030,789
1030,1067
1030,1086
1031,770
1031,1087
1032,1087
1033,768
1033,769
1033,788
1033,789
1033,1087
1033,1088
1034,768
1034,789
1034,1068
1034,1088
1035,758
1035,800
