car_brand,car_system,car_model,register_time,meter_mile,sell_times,car_class,price
比亚迪,宋MAX,2017款 1.5T 自动智联精英型 7座,2018/1/7,3.44,2,mpv,8.65
奔驰,奔驰CLA级,2017款 CLA 220 4MATIC,2017/1/5,6.38,0,saloon,25.77
比亚迪,比亚迪S6,2014款 2.0L 手动豪华型 5座,2014/1/12,7.33,1,suv,3.71
宝骏,宝骏560,2017款 律动版 1.5T 手动尊享型,2017/1/7,2.29,0,suv,6.05
比亚迪,宋MAX,2017款 1.5T 自动智联尊贵型 7座,2018/1/5,2.22,0,mpv,9.4
奥迪,奥迪Q3,2013款 35 TFSI quattro 豪华型,2013/1/6,4.96,1,suv,13.49
奥迪,奥迪A6L,2019款 45 TFSI quattro 臻选致雅型,2019/1/8,1.53,0,saloon,36.27
奥迪,奥迪A6L,2017款 TFSI 技术型,2017/1/7,3.92,0,saloon,23.72
奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,2019/1/7,0.4,0,saloon,26.1
奥迪,奥迪A1,2014款 30 TFSI 舒适型,2014/1/12,3.59,4,saloon,9.21
比亚迪,宋新能源,2017款 宋DM 1.5TID 全时四驱尊贵型,2018/1/3,5.34,0,EV,8.75
本田,思域,2016款 220TURBO CVT尊贵版,2017/1/3,2.34,0,saloon,13.77
奔驰,奔驰C级,2015款 C 180 L 运动型,2015/1/6,9.1,1,saloon,20.28
宝马,宝马1系,2017款 118i 运动型,2017/1/8,5.35,0,saloon,13.02
宝马,宝马1系,2019款 120i 领先型M运动套装,2019/1/7,0.89,1,saloon,17.4899
宝马,宝马1系,2018款 118i 运动型,2018/1/9,0.91,0,saloon,15.63
宝骏,宝骏560,2015款 1.8L 手动豪华型,2016/1/5,4.85,0,suv,4.47
宝骏,宝骏560,2016款 1.8L iAMT豪华型,2016/1/7,5.88,0,suv,4.62
奥迪,奥迪Q3,2019款 40 TFSI 时尚动感型,2019/1/8,0.95,0,suv,23.07
比亚迪,宋,2016款 2.0TID 自动豪华型,2016/1/10,5.47,1,suv,6.12
比亚迪,比亚迪S6,2013款 白金版 2.0L 手动豪华型,2014/1/12,4.62,2,suv,3.35
比亚迪,宋MAX,2017款 1.5T 手动智联豪华型 7座,2018/1/1,7.89,0,mpv,7.41
宝马,宝马1系,2019款 118i M运动套装,2019/1/6,0.62,1,saloon,17.1
奔驰,奔驰CLA级,2017款 CLA 200 动感型,2018/1/3,6.49,0,saloon,18.4899
本田,思域,2016款 220TURBO CVT豪华版,2017/1/3,2.37,0,saloon,12.09
宝马,宝马X4,2019款 xDrive25i M越野套装,2020/1/1,0.01,0,suv,44.46
阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,2019/1/7,0.61,0,suv,24.18
本田,思域,2016款 220TURBO CVT豪华版,2017/1/2,6.68,0,saloon,10.86
比亚迪,比亚迪S6,2013款 白金版 2.0L 手动豪华型,2016/1/4,6.62,1,suv,3.99
奥迪,奥迪Q3,2017款 30 TFSI 时尚型,2018/1/4,1.16,0,suv,15.81
比亚迪,比亚迪S6,2013款 白金版 2.0L 手动豪华型,2014/1/3,8.17,1,suv,2.89
奥迪,奥迪A6L,2018款 30周年年型 TFSI 进取型,2018/1/12,3.42,0,saloon,27.13
宝马,宝马X4,2014款 xDrive20i X设计套装,2015/1/8,5.14,0,suv,25.96
比亚迪,比亚迪S6,2013款 白金版 2.0L 手动精英型,2013/1/4,6.68,0,suv,2.39
比亚迪,宋,2016款 盖世版 1.5TID 自动精英型,2016/1/10,4.45,1,suv,6
比亚迪,比亚迪S6,2013款 白金版 2.4L 自动精英型,2013/1/9,6.26,2,suv,3.82
宝骏,宝骏560,2015款 1.8L 手动精英型,2016/1/1,7.64,0,suv,4.64
比亚迪,比亚迪S6,2011款 2.4L 自动尊享型,2012/1/3,7.14,1,suv,3.2
本田,思域,2012款 1.8L 自动舒适版,2012/1/5,15.19,0,saloon,5.86
奔驰,奔驰CLA级,2017款 改款 CLA 220 4MATIC,2018/1/5,2.32,0,saloon,23.72
比亚迪,比亚迪S6,2012款 2.0L 手动尊贵型,2012/1/12,5.2699,1,suv,3.07
比亚迪,宋MAX,2018款 1.5T 自动智联尊享型 6座,2018/1/12,1.55,0,mpv,8.1
奥迪,奥迪A4L,2019款 40 TFSI 时尚型 国VI,2019/1/11,0.67,2,saloon,26.97
比亚迪,比亚迪S6,2012款 2.0L 手动尊贵型,2013/1/1,2.18,0,suv,2.89
比亚迪,宋,2018款 1.5TID 自动舒适型,2018/1/7,1.88,2,suv,6.79
宝骏,宝骏560,2016款 1.8L iAMT豪华型,2016/1/6,8.28,0,suv,5.3
奔驰,奔驰C级(进口),2016款 C 200 轿跑版,2016/1/9,3.11,1,supercar,27.72
比亚迪,宋新能源,2017款 宋DM 1.5TID 全时四驱豪华型,2018/1/4,3.17,0,EV,9.77
比亚迪,宋MAX,2017款 1.5T 自动智联尊贵型 7座,2018/1/1,11.02,2,mpv,8.3699
本田,思域,2016款 220TURBO CVT豪华版,2017/1/7,5.8099,1,saloon,13.19
阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,2018/1/12,2.69,0,suv,24.18
本田,思域,2016款 220TURBO CVT豪华版,2016/1/6,9.23,1,saloon,13.02
奥迪,奥迪A3,2015款 Limousine 35 TFSI 百万纪念舒享型,2015/1/3,8.72,0,saloon,12.09
宝马,宝马X4,2014款 xDrive20i X设计套装,2018/1/7,2.74,0,suv,34.6
奥迪,奥迪A3,2018款 30周年年型 Limousine 35 TFSI 时尚型,2019/1/4,0.12,0,saloon,15.02
宝骏,宝骏560,2016款 1.5T 手动豪华型,2017/1/3,6.74,0,suv,4.65
宝马,宝马1系,2019款 118i M运动套装,2019/1/11,0.4,1,saloon,17.66
比亚迪,比亚迪S6,2013款 白金版 2.0L 手动豪华型,2013/1/12,7.13,1,suv,2.33
宝马,宝马1系,2019款 118i M运动套装,2019/1/4,0.67,1,saloon,16.56
奥迪,奥迪A6L,2012款 TFSI 舒适型,2013/1/8,8.47,1,saloon,20.46
本田,思域,2012款 1.8L 自动舒适版,2013/1/7,11.64,3,saloon,7.33
奥迪,奥迪A3,2014款 Limousine 35 TFSI 自动豪华型,2014/1/12,17.77,0,saloon,10.98
奥迪,奥迪A3,2016款 Limousine 35 TFSI 进取型,2016/1/12,4.96,0,saloon,12.1199
比亚迪,比亚迪S6,2014款 1.5TI 手动豪华型 5座,2014/1/10,6.05,0,suv,3.82
比亚迪,宋MAX,2017款 1.5T 自动智联精英型 7座,2018/1/4,6.17,1,mpv,8.19
奥迪,奥迪Q3,2013款 35 TFSI 进取型,2014/1/3,6.01,1,suv,14.42
奥迪,奥迪A1,2014款 30 TFSI 时尚型,2015/1/5,4.54,0,saloon,9.77
比亚迪,唐新能源,2018款 2.0T 全时四驱智联创享型 7座,2019/1/1,1.1,0,EV,20.31
奥迪,奥迪A1,2014款 30 TFSI 时尚型,2015/1/8,6.63,1,saloon,9.77
奥迪,奥迪A1,2016款 30 TFSI Sportback Design风尚版,2017/1/3,2.15,3,saloon,12.28
奔驰,奔驰C级,2016款 C 200 L 运动型,2016/1/8,7.55,2,saloon,24.93
奥迪,奥迪A1,2012款 1.4 TFSI Ego,2014/1/1,6.0199,2,saloon,8.3699
奥迪,奥迪A3,2016款 Limousine 35 TFSI 风尚型,2017/1/1,2.05,1,saloon,14.99
奔驰,奔驰CLA级,2017款 CLA 220 4MATIC,2017/1/2,3.56,4,saloon,26.04
奥迪,奥迪Q3,2016款 30 TFSI 时尚型,2017/1/10,3.65,0,suv,16.0799
比亚迪,宋,2016款 2.0TID 自动旗舰型,2016/1/11,9.3,0,suv,5.58
奔驰,奔驰CLA级,2018款 CLA 200 时尚型,2018/1/3,2.67,0,saloon,23.25
本田,思域,2016款 220TURBO CVT豪华版,2017/1/2,1.98,0,saloon,11.16
比亚迪,比亚迪S6,2014款 2.0L 手动尊贵型 5座,2014/1/1,7.33,1,suv,3.2599
阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华版,2018/1/1,2.56,0,saloon,24.09
本田,思域,2013款 十周年纪念 1.8L 手动舒适版,2015/1/6,5.87,2,saloon,6.4
奥迪,奥迪A3,2016款 Sportback 35 TFSI 领英型,2016/1/6,3.39,1,saloon,12.84
奥迪,奥迪A3,2016款 Sportback 35 TFSI 领英型,2017/1/6,2.82,1,saloon,13.21
宝马,宝马X4,2014款 xDrive28i 领先型,2015/1/3,12.58,0,suv,26.97
奥迪,奥迪Q3,2015款 35 TFSI 百万纪念舒享型,2016/1/3,6.44,0,suv,16.56
